,receipt_id,barcode,description,finalPrice,itemPrice,brandCode
0,5ff1e1eb0a720f0523000575,4011,ITEM NOT FOUND,26.00,26.00,
1,5ff1e1bb0a720f052300056b,4011,ITEM NOT FOUND,1,1,
2,5ff1e1bb0a720f052300056b,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,
3,5ff1e1f10a720f052300057a,,,,,
4,5ff1e1ee0a7214ada100056f,4011,ITEM NOT FOUND,28.00,28.00,
5,5ff1e1d20a7214ada1000561,4011,ITEM NOT FOUND,1,1,
6,5ff1e1d20a7214ada1000561,1234,,2.56,2.56,
7,5ff1e1e40a7214ada1000566,4011,ITEM NOT FOUND,3.25,3.25,
8,5ff1e1cd0a720f052300056f,,MSSN TORTLLA,2.23,2.23,MISSION
9,5ff1e1a40a720f0523000569,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,10.00,BRAND
10,5ff1e1ed0a7214ada100056e,4011,ITEM NOT FOUND,20.00,20.00,
11,5ff1e1eb0a7214ada100056b,4011,ITEM NOT FOUND,20.00,20.00,
12,5ff1e1c50a720f052300056c,4011,ITEM NOT FOUND,1,1,
13,5ff1e1a10a720f0523000568,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,50.00,
14,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
15,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
16,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
17,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
18,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
19,5ff1e1b60a7214ada100055c,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,
